Lang	Occurrences	Message
Java	2	java.nio.file.NoSuchFileException
Java	2	java.util.NoSuchElementException No next element
Java	2	javax.crypto.BadPaddingException Given final block not properly padded
Java	2	jpl.PrologException PrologException: error(syntax_error(operator_expected), string(' ', 9))
Java	2	NotImplementedException
Java	2	NullDisivion
Java	2	org.apache.poi.openxml4j.exceptions.OpenXML4JRuntimeException Fail to save: an error occurs while saving the package : null
Java	2	org.restlet.resource.ResourceException Connection Error
Java	2	OutOfRangeException Input value is out of range: #
Java	2	QueueUnderflowException There is not any code integer to remove.
Java	2	StackException List is empty!
Java	2	StackUnderflowException Operation attempted on an empty stack.
Java	2	UnsupportedDocumentTypeException
Java	2	util.LiveCache$InvalidException Live cache invalid or missing for ASX
Java	2	ValueException error
Java	2	ZeroDenominatorException denominator = 0
Java	2	>, extends, or super expected
Java	2	enum declarations allowed only in static contexts
Java	2	error while writing: (Acces refuzat)
Java	2	incompatible types for ?: neither is a subtype of the other
Java	2	label <NAME> already in use
Java	2	legacy array notation not allowed on variable-arity parameter
Java	2	name clash: <NAME> and <NAME> t
Java	2	no enclosing instance of type <TYPE> scope
Java	2	removeUpdate(javax.swing.text.AbstractDocument.DefaultDocumentEvent) in MyPanel.CustomTextArea.MyTextDocument cannot override removeUpdate(javax.swing.text.AbstractDocument.DefaultDocumentEvent) in javax.swing.text.PlainDocument\n overridden <METHOD> n
Java	2	TypewriterEffect.type <TYPE> does not override abstract <METHOD> in java.util.TimerTask
Java	1	AgeNotNegativeException Message:- Age Can't be -ve dear.. :) :P
Java	1	anException nahhhhhhhhhhhhhhhhhhhhhhh dont do that, dawg.
Java	1	BadCostException Price cannot be negative
Java	1	com.db4o.ext.DatabaseFileLockedException
Java	1	com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException Undeclared variable: division
Java	1	com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ' ' at line 1
Java	1	com.vmware.vim25.InvalidArgument
Java	1	eduLine.eduJava$CrossRoadsException DeviceProblem.setOutput
Java	1	EmptyCanException
Java	1	EmptyCollectionException no data in tree
Java	1	EmptyListaException listapp is empty
Java	1	Exception_Database Database Error: null
Java	1	GameRuntimeException All positions have been assigned a player!
Java	1	GameRuntimeException That command is not understood
Java	1	InsufficientFunds
Java	1	java.awt.AWTError Invalid axis
Java	1	java.awt.datatransfer.UnsupportedFlavorException Unicode String
Java	1	java.awt.IllegalComponentStateException component must be showing on the screen to determine its location
Java	1	java.awt.image.RasterFormatException (y + height/width) is outside of Raster
Java	1	java.io.FileNotFoundException (A required privilege is not held by the client)
Java	1	java.io.FileNotFoundException (Too many open files)
Java	1	java.io.IOException Cannot run program # in directory "Desktop:"): CreateProcess error=267, The directory name is invalid
Java	1	java.io.IOException invalid integer
Java	1	java.io.StreamCorruptedException invalid stream header: 6D617269
Java	1	java.lang.AbstractMethodError Laptop.compareTo(LComparable;)I
Java	1	java.lang.ArithmeticException
Java	1	java.lang.ArithmeticException BigInteger not invertible.
Java	1	java.lang.ArithmeticException ERROR
Java	1	java.lang.ArithmeticException Invalid operation
Java	1	java.lang.ClassFormatError Unknown constant tag 0 in class file javax/swing/JTextField
Java	1	java.lang.Error Input contains characters that aren't alphabetic or whitespace.
Java	1	java.lang.Error Player must be Black or White
Java	1	java.lang.Error Unresolved compilation problem: \n
Java	1	java.lang.Error Unresolved compilation problems: \n Syntax error, insert ";" to complete Statement\n Syntax error on token "else", delete this token\n Syntax error, insert ";" to complete ReturnStatement\n Syntax error on token "else", delete this token\n Syntax error on token "}", delete this token\n
Java	1	java.lang.IllegalStateException Door is already closed
Java	1	java.lang.IllegalStateException getPipSum called, but dice not rolled
Java	1	java.lang.IllegalStateException javax.swing.JLabel[,0,0,0x0,invalid,alignmentX=0.0,alignmentY=0.0,border=,flags=8388608,maximumSize=,minimumSize=,preferredSize=,defaultIcon=,disabledIcon=,horizontalAlignment=LEADING,horizontalTextPosition=TRAILING,iconTextGap=4,labelFor=,text=Mening,verticalAlignment=CENTER,verticalTextPosition=CENTER] is not attached to a horizontal group
Java	1	java.lang.IllegalStateException oh snap, something went wrong!
Java	1	java.lang.IllegalStateException OutOfBeepers
Java	1	java.lang.IllegalStateException The grid contains a different actor at location (0, 9).
Java	1	java.lang.IllegalStateException The multishape has to have at least one part
Java	1	java.lang.IllegalStateException Unknown doneness
Java	1	java.lang.IncompatibleClassChangeError Expected static field <FIELD>
Java	1	java.lang.LinkageError loader constraint violation: when resolving method "bst.BinarySearchTree.retrieve(Ljava/lang/Comparable;)Lki/KeyedItem;" the class loader (instance of java/net/URLClassLoader) of the current class, TreeSort, and the class loader (instance of sun/misc/Launcher$AppClassLoader) for resolved class, bst/BinarySearchTree, have different Class objects for the type retrieve used in the signature
Java	1	java.lang.NullPointerException Division by zero.
Java	1	java.lang.RuntimeException
Java	1	java.lang.RuntimeException cannot delete
Java	1	java.lang.RuntimeException Date string <19-8-2013 11:00:00> not recognised because it contains extra characters after a date.
Java	1	java.lang.RuntimeException Error
Java	1	java.lang.RuntimeException Error. You have not entered enough values
Java	1	java.lang.RuntimeException Failed : HTTP error code : 403
Java	1	java.lang.RuntimeException imageWidth: 422 != imageHeight: 357
Java	1	java.lang.RuntimeException Input integer must be greater than 2.
Java	1	java.lang.RuntimeException Invalid response
Java	1	java.lang.RuntimeException java.io.FileNotFoundException (Not a directory)
Java	1	java.lang.RuntimeException No background cache for ASX
Java	1	java.lang.RuntimeException No console class
Java	1	java.lang.RuntimeException No file inputed
Java	1	java.lang.RuntimeException Room outside the main entrance of the university already contains torch.
Java	1	java.lang.UnsatisfiedLinkError Cannot load 32-bit SWT libraries on 64-bit JVM
Java	1	java.lang.UnsatisfiedLinkError Expecting an absolute path of the library: <LIBRARY>
Java	1	java.lang.UnsupportedOperationException Java Runtime Environment (JRE) version 1.7 is not supported by this driver. Use the sqljdbc4.jar class library, which provides support for JDBC 4.0.
Java	1	java.lang.UnsupportedOperationException No default technique on material ' '\n is supported by the video hardware. The caps [GLSL100] are required.
Java	1	java.lang.UnsupportedOperationException Not supported yet.
Java	1	java.lang.UnsupportedOperationException Not yet implemented
Java	1	java.net.SocketException Network is unreachable
