Source,Target,weight,products,services,finances,content,hardware,interviewed
84,165,1,1,NA,NA,NA,NA,FALSE
84,167,2,2,NA,NA,NA,NA,FALSE
84,223,1,1,NA,NA,NA,NA,FALSE
84,228,1,1,NA,NA,NA,NA,FALSE
85,91,1,NA,1,NA,NA,NA,FALSE
85,100,1,1,1,NA,NA,NA,FALSE
85,118,1,1,NA,NA,NA,NA,FALSE
85,130,1,1,NA,NA,NA,NA,FALSE
85,158,1,1,NA,NA,NA,NA,FALSE
85,167,1,NA,1,NA,NA,NA,FALSE
85,240,1,1,NA,NA,NA,NA,FALSE
85,269,2,1,1,NA,NA,NA,FALSE
85,343,1,1,NA,NA,NA,NA,FALSE
86,91,1,1,NA,NA,NA,NA,FALSE
87,91,1,NA,NA,NA,NA,1,FALSE
88,90,1,NA,NA,NA,NA,1,FALSE
89,90,1,NA,NA,NA,NA,1,FALSE
90,91,1,NA,NA,NA,NA,1,FALSE
91,2,1,NA,NA,1,NA,NA,TRUE
91,11,2,NA,NA,2,NA,NA,TRUE
91,83,1,NA,NA,1,NA,NA,TRUE
91,85,1,NA,NA,1,NA,NA,TRUE
91,86,1,NA,NA,1,NA,NA,TRUE
91,87,1,NA,NA,1,NA,NA,TRUE
91,90,1,NA,NA,1,NA,NA,TRUE
91,92,2,1,1,NA,NA,NA,TRUE
92,91,1,NA,NA,1,NA,NA,FALSE
93,100,1,1,NA,NA,NA,NA,FALSE
94,100,1,1,NA,NA,NA,NA,FALSE
94,113,1,1,NA,NA,NA,NA,FALSE
94,130,1,1,NA,NA,NA,NA,FALSE
94,158,1,1,NA,NA,NA,NA,FALSE
94,167,1,NA,1,NA,NA,NA,FALSE
94,343,1,1,NA,NA,NA,NA,FALSE
95,100,1,NA,1,NA,NA,NA,FALSE
96,100,1,NA,1,NA,NA,NA,FALSE
97,100,1,NA,1,NA,NA,NA,FALSE
98,100,1,NA,1,NA,NA,NA,FALSE
99,100,1,NA,1,NA,NA,NA,FALSE
100,101,3,3,NA,NA,NA,NA,TRUE
101,100,1,NA,NA,1,NA,NA,FALSE
102,103,1,NA,NA,NA,1,NA,FALSE
103,2,1,NA,NA,1,NA,NA,TRUE
103,9,3,NA,NA,1,NA,NA,TRUE
103,11,1,NA,NA,1,NA,NA,TRUE
103,102,1,NA,NA,1,NA,NA,TRUE
103,104,3,2,NA,NA,1,NA,TRUE
103,105,3,2,NA,NA,1,NA,TRUE
103,106,8,4,3,NA,1,NA,TRUE
104,103,2,NA,NA,2,NA,NA,FALSE
104,106,3,2,NA,NA,1,NA,FALSE
105,103,2,NA,NA,2,NA,NA,FALSE
105,106,4,2,1,NA,1,NA,FALSE
106,9,3,NA,NA,3,NA,NA,FALSE
106,103,8,NA,NA,8,NA,NA,FALSE
106,104,2,NA,NA,2,NA,NA,FALSE
106,105,3,NA,NA,3,NA,NA,FALSE
107,109,1,1,NA,NA,NA,NA,FALSE
108,109,1,NA,NA,NA,NA,1,FALSE
109,107,1,NA,NA,1,NA,NA,TRUE
109,108,1,NA,NA,1,NA,NA,TRUE
109,110,2,2,NA,NA,NA,NA,TRUE
109,111,2,2,NA,NA,NA,NA,TRUE
109,112,2,2,NA,NA,NA,NA,TRUE
110,109,1,NA,NA,1,NA,NA,FALSE
110,112,2,2,NA,NA,NA,NA,FALSE
110,316,1,1,NA,NA,NA,NA,FALSE
111,109,1,NA,NA,1,NA,NA,FALSE
111,112,2,2,NA,NA,NA,NA,FALSE
112,109,1,NA,NA,1,NA,NA,FALSE
112,110,1,NA,NA,1,NA,NA,FALSE
112,111,1,NA,NA,1,NA,NA,FALSE
113,11,1,NA,NA,1,NA,NA,TRUE
113,62,1,NA,NA,1,NA,NA,TRUE
113,94,1,NA,NA,1,NA,NA,TRUE
113,114,4,1,3,NA,NA,NA,TRUE
114,113,3,NA,NA,3,NA,NA,FALSE
115,118,1,1,NA,NA,NA,NA,FALSE
116,118,1,1,NA,NA,NA,NA,FALSE
117,118,2,2,NA,NA,NA,NA,FALSE
117,215,1,1,NA,NA,NA,NA,FALSE
117,245,1,NA,1,NA,NA,NA,FALSE
118,3,3,NA,NA,3,NA,NA,TRUE
118,11,2,NA,NA,2,NA,NA,TRUE
118,49,4,NA,NA,4,NA,NA,TRUE
118,115,1,NA,NA,1,NA,NA,TRUE
118,116,1,NA,NA,1,NA,NA,TRUE
118,117,2,NA,NA,2,NA,NA,TRUE
118,119,2,1,1,NA,NA,NA,TRUE
119,118,2,NA,NA,2,NA,NA,FALSE
120,121,2,NA,2,NA,NA,NA,FALSE
121,37,3,NA,NA,3,NA,NA,FALSE
122,125,1,1,NA,NA,NA,NA,FALSE
123,125,1,1,NA,NA,NA,NA,FALSE
124,63,1,NA,NA,1,NA,NA,FALSE
124,125,1,NA,1,NA,NA,NA,FALSE
124,200,1,NA,1,NA,NA,NA,FALSE
125,11,1,NA,NA,1,NA,NA,TRUE
125,18,1,NA,NA,1,NA,NA,TRUE
125,122,1,NA,NA,1,NA,NA,TRUE
125,123,1,NA,NA,1,NA,NA,TRUE
125,124,1,NA,NA,1,NA,NA,TRUE
125,126,1,NA,1,NA,NA,NA,TRUE
125,127,1,1,NA,NA,NA,NA,TRUE
126,125,1,NA,NA,1,NA,NA,FALSE
127,125,1,NA,NA,1,NA,NA,FALSE
128,130,1,1,NA,NA,NA,NA,FALSE
129,130,1,NA,1,NA,NA,NA,FALSE
130,3,1,NA,NA,1,NA,NA,TRUE
130,11,1,NA,NA,1,NA,NA,TRUE
130,94,1,NA,NA,1,NA,NA,TRUE
130,128,1,NA,NA,1,NA,NA,TRUE
130,129,1,NA,NA,1,NA,NA,TRUE
130,131,2,NA,1,NA,1,NA,TRUE
130,132,1,1,NA,NA,NA,NA,TRUE
131,130,1,NA,NA,1,NA,NA,FALSE
131,133,2,NA,1,NA,1,NA,FALSE
132,133,1,1,NA,NA,NA,NA,FALSE
133,130,1,NA,NA,NA,1,NA,FALSE
134,136,1,1,NA,NA,NA,NA,FALSE
134,245,1,NA,1,NA,NA,NA,FALSE
135,136,1,NA,1,NA,NA,NA,FALSE
136,11,3,NA,NA,3,NA,NA,TRUE
136,32,1,NA,NA,1,NA,NA,TRUE
136,134,1,NA,NA,1,NA,NA,TRUE
136,135,1,NA,NA,1,NA,NA,TRUE
136,137,2,NA,2,NA,NA,NA,TRUE
137,136,2,NA,NA,2,NA,NA,FALSE
138,140,1,1,NA,NA,NA,NA,FALSE
138,240,1,1,NA,NA,NA,NA,FALSE
139,140,1,1,NA,NA,NA,NA,FALSE
140,11,6,NA,NA,3,NA,NA,TRUE
140,138,1,NA,NA,1,NA,NA,TRUE
140,139,1,NA,NA,1,NA,NA,TRUE
140,141,5,3,2,NA,NA,NA,TRUE
140,215,1,1,NA,NA,NA,NA,TRUE
140,318,1,NA,NA,1,NA,NA,TRUE
140,319,1,NA,NA,1,NA,NA,TRUE
141,140,3,NA,3,NA,NA,NA,FALSE
142,23,1,NA,NA,NA,1,NA,FALSE
143,23,1,NA,NA,NA,1,NA,FALSE
143,36,2,NA,1,NA,1,NA,FALSE
143,291,1,NA,1,NA,NA,NA,FALSE
144,23,1,NA,NA,NA,1,NA,FALSE
145,23,1,NA,NA,NA,1,NA,FALSE
146,149,1,1,NA,NA,NA,NA,FALSE
147,149,1,1,NA,NA,NA,NA,FALSE
148,149,2,1,1,NA,NA,NA,FALSE
148,223,2,1,1,NA,NA,NA,FALSE
148,385,1,NA,NA,1,NA,NA,FALSE
148,386,1,NA,NA,1,NA,NA,FALSE
148,387,1,NA,NA,1,NA,NA,FALSE
148,388,1,NA,NA,1,NA,NA,FALSE
149,3,1,NA,NA,1,NA,NA,TRUE
149,11,1,NA,NA,1,NA,NA,TRUE
149,146,1,NA,NA,1,NA,NA,TRUE
149,147,1,NA,NA,1,NA,NA,TRUE
149,148,1,NA,NA,1,NA,NA,TRUE
149,150,2,1,1,NA,NA,NA,TRUE
150,149,1,NA,NA,1,NA,NA,FALSE
151,28,1,1,NA,NA,NA,NA,FALSE
152,28,1,1,NA,NA,NA,NA,FALSE
153,28,1,NA,1,NA,NA,NA,FALSE
154,28,1,NA,1,NA,NA,NA,FALSE
155,28,1,NA,1,NA,NA,NA,FALSE
156,33,1,1,NA,NA,NA,NA,FALSE
157,158,1,NA,1,NA,NA,NA,FALSE
158,85,2,NA,NA,2,NA,NA,TRUE
158,94,1,NA,NA,1,NA,NA,TRUE
158,157,1,NA,NA,1,NA,NA,TRUE
158,159,2,NA,NA,NA,2,NA,TRUE
159,158,2,NA,NA,2,NA,NA,FALSE
159,160,1,NA,NA,NA,1,NA,FALSE
160,159,1,NA,NA,1,NA,NA,FALSE
161,167,1,1,NA,NA,NA,NA,FALSE
